COGNOME;COMUNE;descrizione_carica
LUCCHINI;ACQUI TERME;Sindaco
MIGHETTI;ACQUI TERME;Vicesindaco
MONTELLI;ACQUI TERME;Assessore
OSELIN;ACQUI TERME;Assessore
ROLANDO;ACQUI TERME;Assessore
SASSO;ACQUI TERME;Assessore
LOVOTTI;ALBERA LIGURE;Sindaco
GAZZOLI;ALBERA LIGURE;Vicesindaco
LOVOTTI;ALBERA LIGURE;Assessore
ABONANTE;ALESSANDRIA;Sindaco
BARRERA;ALESSANDRIA;Vicesindaco
BERRONE;ALESSANDRIA;Assessore
CORNARA;ALESSANDRIA;Assessore
FALLETI;ALESSANDRIA;Assessore
LAGUZZI;ALESSANDRIA;Assessore
MAZZONI;ALESSANDRIA;Assessore
ONETO;ALESSANDRIA;Assessore
PERRONE;ALESSANDRIA;Assessore
SERRA;ALESSANDRIA;Assessore
ZEGLIO;ALFIANO NATTA;Sindaco
MORRA;ALFIANO NATTA;Vicesindaco
COSSETA;ALFIANO NATTA;Assessore
MARTINO;ALICE BEL COLLE;Sindaco
GASTI;ALICE BEL COLLE;Assessore
ROFFREDO;ALICE BEL COLLE;Assessore
BETTI;ALLUVIONI PIOVERA;Sindaco
GILARDENGHI;ALLUVIONI PIOVERA;Vicesindaco
POMPEI;ALLUVIONI PIOVERA;Assessore
ARROBBIO;ALTAVILLA MONFERRATO;Sindaco
MELLANA;ALTAVILLA MONFERRATO;Vicesindaco
FINOTTO;ALTAVILLA MONFERRATO;Assessore
GUAGNINI;ALZANO SCRIVIA;Sindaco
CISI;ALZANO SCRIVIA;Vicesindaco
RAMUNDO;ALZANO SCRIVIA;Assessore
BASSO;ARQUATA SCRIVIA;Sindaco
CUCINELLA;ARQUATA SCRIVIA;Vicesindaco
BENVENUTO;ARQUATA SCRIVIA;Assessore
DEBENEDETTI;ARQUATA SCRIVIA;Assessore
SPINETO;ARQUATA SCRIVIA;Assessore
GRAGNOLATI;AVOLASCA;Sindaco
BAGNASCO;AVOLASCA;Vicesindaco
PRATO;AVOLASCA;Assessore
TORRIANO;BALZOLA;Sindaco
GRAZIOTTO;BALZOLA;Assessore
PERUZZI;BALZOLA;Assessore
LUDOVICI;BASALUZZO;Sindaco
DEMICHELI;BASALUZZO;Vicesindaco
ROTONDI;BASALUZZO;Assessore
VISCHI;BASSIGNANA;Sindaco
GARAVELLI;BASSIGNANA;Assessore
PANI;BASSIGNANA;Assessore
INCERPI;BELFORTE MONFERRATO;Sindaco
RAVERA;BELFORTE MONFERRATO;Vicesindaco
RAVERA;BELFORTE MONFERRATO;Assessore
VEGGI;BERGAMASCO;Sindaco
TESTA;BERGAMASCO;Vicesindaco
BARBERIS;BERGAMASCO;Assessore
RAVIOLO;BERZANO DI TORTONA;Sindaco
PAVIONE;BERZANO DI TORTONA;Vicesindaco
BONADEO;BERZANO DI TORTONA;Assessore
VALLEGRA;BISTAGNO;Sindaco
BALDOVINO;BISTAGNO;Assessore
BLENGIO;BISTAGNO;Assessore
BUSSALINO;BORGHETTO DI BORBERA;Sindaco
SAPORITO;BORGHETTO DI BORBERA;Vicesindaco
CHIAPUZZO;BORGHETTO DI BORBERA;Assessore
BIGOTTI;BORGORATTO ALESSANDRINO;Sindaco
BARBERIS;BORGORATTO ALESSANDRINO;Assessore
ODDONE;BORGORATTO ALESSANDRINO;Assessore
ZAVATTARO;BORGO SAN MARTINO;Sindaco
CALOROSO;BORGO SAN MARTINO;Vicesindaco
LETTIERI;BORGO SAN MARTINO;Assessore
GAZZANIGA;BOSCO MARENGO;Sindaco
BITTOLO;BOSCO MARENGO;Vicesindaco
GIACALONE;BOSCO MARENGO;Assessore
PERSANO;BOSIO;Sindaco
RATTI;BOSIO;Vicesindaco
CITRON;BOSIO;Assessore
BALDI;BOZZOLE;Sindaco
COMIN;BOZZOLE;Vicesindaco
BOSIO;BOZZOLE;Assessore
DAVICO;BRIGNANO FRASCATA;Sindaco
MORGAVI;BRIGNANO FRASCATA;Vicesindaco
GATTI;BRIGNANO FRASCATA;Assessore
DAGLIO;CABELLA LIGURE;Sindaco
RENATI;CABELLA LIGURE;Vicesindaco
REPETTI;CABELLA LIGURE;Assessore
SCAGLIOTTI;CAMAGNA MONFERRATO;Sindaco
BECCARIA;CAMAGNA MONFERRATO;Vicesindaco
GRASSI;CAMAGNA MONFERRATO;Assessore
RONDANO;CAMINO;Sindaco
VELLANO;CAMINO;Vicesindaco
GUTTERO;CAMINO;Assessore
DEBENEDETTI;CANTALUPO LIGURE;Sindaco
QUAGLIA;CANTALUPO LIGURE;Vicesindaco
CORSO;CANTALUPO LIGURE;Assessore
DAMERI;CAPRIATA D'ORBA;Sindaco
NORBIATO;CAPRIATA D'ORBA;Assessore
GNUDI;CARBONARA SCRIVIA;Sindaco
COMBATTENTI;CARBONARA SCRIVIA;Assessore
MANTELLI;CARBONARA SCRIVIA;Assessore
CELORIA;CARENTINO;Sindaco
CELLERINO;CARENTINO;Vicesindaco
TUNIOLI;CARENTINO;Assessore
GUERNIER;CAREZZANO;Sindaco
BELLO;CAREZZANO;Vicesindaco
ROMANI;CAREZZANO;Assessore
PISATURO;CARPENETO;Sindaco
GIUNTI;CARPENETO;Vicesindaco
OLIVIERI;CARPENETO;Assessore
SILVESTRI;CARREGA LIGURE;Sindaco
CROSETTI;CARREGA LIGURE;Vicesindaco
GUERRINI;CARREGA LIGURE;Assessore
GUGLIELMINO;CARROSIO;Sindaco
CASSANO;CARROSIO;Assessore
PERSEGONA;CARROSIO;Assessore
MORENA;CARTOSIO;Sindaco
ZUNINO;CARTOSIO;Vicesindaco
BARISONE;CARTOSIO;Assessore
CERMELLI;CASAL CERMELLI;Sindaco
CAMERA;CASAL CERMELLI;Vicesindaco
TONELLO;CASAL CERMELLI;Assessore
MAZZARELLO;CASALEGGIO BOIRO;Sindaco
GUIGLIA;CASALEGGIO BOIRO;Vicesindaco
RIBOLDI;CASALE MONFERRATO;Sindaco
CAPRA;CASALE MONFERRATO;Vicesindaco
DE;CASALE MONFERRATO;Assessore
FILIBERTI;CASALE MONFERRATO;Assessore
FRACCHIA;CASALE MONFERRATO;Assessore
LOMBARDI;CASALE MONFERRATO;Assessore
NOVELLI;CASALE MONFERRATO;Assessore
SAPIO;CASALE MONFERRATO;Assessore
CETTA;CASALNOCETO;Sindaco
FIGINI;CASALNOCETO;Vicesindaco
VEGEZZI;CASALNOCETO;Assessore
MANDIROLA;CASASCO;Sindaco
DAGLIO;CASASCO;Vicesindaco
PERFUMO;CASASCO;Assessore
BUSSETI;CASSANO SPINOLA;Sindaco
CERIA;CASSANO SPINOLA;Vicesindaco
BELLINGERI;CASSANO SPINOLA;Assessore
MACCARIO;CASSINE;Sindaco
GOTTA;CASSINE;Vicesindaco
ROSSO;CASSINE;Assessore
GALLO;CASSINELLE;Sindaco
CAVANNA;CASSINELLE;Vicesindaco
GIARETTI;CASSINELLE;Assessore
VALLENZONA;CASTELLANIA COPPI;Sindaco
COPPI;CASTELLANIA COPPI;Vicesindaco
BORERI;CASTELLANIA COPPI;Assessore
BATTEGAZZORE;CASTELLAR GUIDOBONO;Sindaco
BURRONI;CASTELLAR GUIDOBONO;Vicesindaco
MANZINI;CASTELLAR GUIDOBONO;Assessore
FERRARIS;CASTELLAZZO BORMIDA;Sindaco
BOIDI;CASTELLAZZO BORMIDA;Assessore
EMANUELLI;CASTELLAZZO BORMIDA;Assessore
MASSOBRIO;CASTELLAZZO BORMIDA;Assessore
ROMANO;CASTELLAZZO BORMIDA;Assessore
LEVO;CASTELLETTO D'ERRO;Sindaco
TAGLIAFICO;CASTELLETTO D'ERRO;Vicesindaco
MILANI;CASTELLETTO D'ERRO;Assessore
PESCE;CASTELLETTO D'ORBA;Sindaco
CAVANNA;CASTELLETTO D'ORBA;Vicesindaco
CARBONE;CASTELLETTO D'ORBA;Assessore
CASSONE;CASTELLETTO MERLI;Sindaco
PIAZZO;CASTELLETTO MERLI;Vicesindaco
MARANZANA;CASTELLETTO MERLI;Assessore
COLLETTI;CASTELLETTO MONFERRATO;Sindaco
CAMURATI;CASTELLETTO MONFERRATO;Assessore
LUCATO;CASTELLETTO MONFERRATO;Assessore
ROGGERO;CASTELNUOVO BORMIDA;Sindaco
BOIDO;CASTELNUOVO BORMIDA;Assessore
FACCI;CASTELNUOVO BORMIDA;Assessore
TAGLIANI;CASTELNUOVO SCRIVIA;Sindaco
PISA;CASTELNUOVO SCRIVIA;Vicesindaco
BREGLIA;CASTELNUOVO SCRIVIA;Assessore
GHIBAUDI;CASTELNUOVO SCRIVIA;Assessore
ISETTA;CASTELNUOVO SCRIVIA;Assessore
MUSSI;CASTELSPINA;Sindaco
BOMPANI;CASTELSPINA;Assessore
SERRACHIERI;CASTELSPINA;Assessore
MASOERO;CAVATORE;Sindaco
LAMPERTI;CAVATORE;Vicesindaco
MIGNONE;CAVATORE;Assessore
DEEVASIS;CELLA MONTE;Sindaco
COPPO;CELLA MONTE;Vicesindaco
COPPO;CELLA MONTE;Assessore
LAVAGNO;CERESETO;Sindaco
BORELLO;CERESETO;Vicesindaco
DORIA;CERESETO;Assessore
BONADEO;CERRETO GRUE;Sindaco
MOGNI;CERRETO GRUE;Vicesindaco
SARACCO;CERRETO GRUE;Assessore
CORNAGLIA;CERRINA MONFERRATO;Sindaco
BONFANTE;CERRINA MONFERRATO;Vicesindaco
BONGIOVANNI;CERRINA MONFERRATO;Assessore
GARELLI;CONIOLO;Sindaco
PERETTI;CONIOLO;Vicesindaco
BORREANI;CONIOLO;Assessore
DEMARIA;CONZANO;Sindaco
DEMARTINI;CONZANO;Vicesindaco
CALIGARIS;CONZANO;Assessore
RUBE;COSTA VESCOVATO;Sindaco
BONADEO;COSTA VESCOVATO;Vicesindaco
MALASPINA;COSTA VESCOVATO;Assessore
GIACOBBE;CREMOLINO;Sindaco
BELLETTI;CREMOLINO;Vicesindaco
LAZZARINO;DENICE;Sindaco
CAGNO;DENICE;Vicesindaco
MASTORCHIO;DENICE;Assessore
BUSCAGLIA;DERNICE;Sindaco
TARDITI;DERNICE;Vicesindaco
PROSELLO;DERNICE;Assessore
DEANTONI;FABBRICA CURONE;Sindaco
MARONE;FABBRICA CURONE;Vicesindaco
BRACCO;FABBRICA CURONE;Assessore
CERRI;FELIZZANO;Sindaco
DAGNA;FELIZZANO;Vicesindaco
DEEVASIS;FELIZZANO;Assessore
DI;FRACONALTO;Sindaco
FRAGOMENI;FRACONALTO;Assessore
GUIDO;FRACONALTO;Assessore
BEVILACQUA;FRANCAVILLA BISIO;Sindaco
BERTA;FRANCAVILLA BISIO;Vicesindaco
RODANO;FRANCAVILLA BISIO;Assessore
CIBERTI;FRASCARO;Sindaco
RICCI;FRASCARO;Vicesindaco
NISTICO';FRASCARO;Assessore
ANDREONE;FRASSINELLO MONFERRATO;Sindaco
LUPARIA;FRASSINELLO MONFERRATO;Assessore
MASSA;FRASSINELLO MONFERRATO;Assessore
SERRAO;FRASSINETO PO;Sindaco
OTTONE;FRASSINETO PO;Assessore
VOLTA;FRASSINETO PO;Assessore
PENOVI;FRESONARA;Sindaco
SCOTTO;FRESONARA;Vicesindaco
LAGUZZI;FRESONARA;Assessore
VALDENASSI;FRUGAROLO;Sindaco
FINCO;FRUGAROLO;Assessore
GAZZANIGA;FRUGAROLO;Assessore
PETTAZZI;FUBINE MONFERRATO;Sindaco
PRIORA;GABIANO;Sindaco
BACINO;GABIANO;Vicesindaco
GAGLIARDONE;GABIANO;Assessore
FERASIN;GAMALERO;Sindaco
SCOVAZZI;GAMALERO;Vicesindaco
GATTI;GAMALERO;Assessore
SEMINO;GARBAGNA;Sindaco
VERNA;GARBAGNA;Vicesindaco
MARUFFO;GARBAGNA;Assessore
MASSA;GAVI;Sindaco
ALFONSO;GAVI;Vicesindaco
COMPARETI;GAVI;Assessore
POGGI;GAVI;Assessore
REGOLI;GAVI;Assessore
PAVESE;GIAROLE;Sindaco
PIGNONE;GIAROLE;Vicesindaco
DALLOCCHIO;GREMIASCO;Sindaco
DUSIO;GREMIASCO;Assessore
PENDOLA;GREMIASCO;Assessore
ROGGERO;GROGNARDO;Sindaco
ROMANO;GROGNARDO;Vicesindaco
BENZI;GROGNARDO;Assessore
BARBIERI;GRONDONA;Sindaco
BOTTARO;GRONDONA;Vicesindaco
BELLO';GRONDONA;Assessore
CEREDA;GUAZZORA;Sindaco
CERVETTI;GUAZZORA;Vicesindaco
PIPERO;GUAZZORA;Assessore
SCOTTI;ISOLA SANT'ANTONIO;Sindaco
BOTTAZZI;ISOLA SANT'ANTONIO;Assessore
PALLAVICINI;ISOLA SANT'ANTONIO;Assessore
ALOISIO;LERMA;Sindaco
PELLINI;LERMA;Vicesindaco
ZUCCHI;LERMA;Assessore
ALESSIO;LU E CUCCARO MONFERRATO;Sindaco
SCARRONE;LU E CUCCARO MONFERRATO;Vicesindaco
PORTA;LU E CUCCARO MONFERRATO;Assessore
NICOLOTTI;MALVICINO;Sindaco
MANFRINETTI;MALVICINO;Vicesindaco
CAVALLERO;MALVICINO;Assessore
AIRAUDO;MASIO;Sindaco
CACCIABUE;MASIO;Vicesindaco
PAGANO;MASIO;Assessore
PAGLIANO;MELAZZO;Sindaco
GARBERO;MELAZZO;Vicesindaco
IVALDI;MELAZZO;Assessore
GALLO;MERANA;Sindaco
JACK;MERANA;Vicesindaco
GHELTRITO;MERANA;Assessore
RICALDONE;MIRABELLO MONFERRATO;Sindaco
GATTI;MIRABELLO MONFERRATO;Vicesindaco
GARAVELLO;MIRABELLO MONFERRATO;Assessore
BARISONE;MOLARE;Sindaco
CANEPA;MOLARE;Assessore
VIGNOLO;MOLARE;Assessore
FANTATO;MOLINO DEI TORTI;Sindaco
BALDUZZI;MOLINO DEI TORTI;Vicesindaco
NOVELLO;MOLINO DEI TORTI;Assessore
CAVALLO;MOMBELLO MONFERRATO;Sindaco
GALLINA;MOMBELLO MONFERRATO;Vicesindaco
VALTERZA;MOMBELLO MONFERRATO;Assessore
PENACCA;MOMPERONE;Sindaco
MAINI;MOMPERONE;Vicesindaco
MARTINELLI;MOMPERONE;Assessore
POLES;MONCESTINO;Sindaco
MICONE;MONCESTINO;Vicesindaco
DI;MONCESTINO;Assessore
MORANDO;MONGIARDINO LIGURE;Sindaco
ROMANELLO;MONGIARDINO LIGURE;Vicesindaco
CORDONE;MONGIARDINO LIGURE;Assessore
MASSA;MONLEALE;Sindaco
SCHERPA;MONLEALE;Vicesindaco
DICARO;MONLEALE;Assessore
FRASCAROLI;MONTACUTO;Sindaco
FERRARI;MONTACUTO;Vicesindaco
FORLINO;MONTACUTO;Assessore
CALCAGNO;MONTALDEO;Sindaco
PESTARINO;MONTALDEO;Assessore
REPETTI;MONTALDEO;Assessore
RAVERA;MONTALDO BORMIDA;Sindaco
ODDICINI;MONTALDO BORMIDA;Vicesindaco
ALPA;MONTALDO BORMIDA;Assessore
PENNA;MONTECASTELLO;Sindaco
CHIARA;MONTECASTELLO;Vicesindaco
CEREDA;MONTECASTELLO;Assessore
MONTI;MONTECHIARO D'ACQUI;Sindaco
LEVO;MONTECHIARO D'ACQUI;Vicesindaco
CAZZOLA;MONTECHIARO D'ACQUI;Assessore
FERRARI;MONTEGIOCO;Sindaco
RASO;MONTEGIOCO;Vicesindaco
DENICOLO';MONTEGIOCO;Assessore
NICOLINI;MONTEMARZINO;Sindaco
DAVICO;MONTEMARZINO;Vicesindaco
LUGANO;MONTEMARZINO;Assessore
FERRARI;MORANO SUL PO;Sindaco
MARCHESINI;MORANO SUL PO;Assessore
TOSI;MORANO SUL PO;Assessore
VACCA;MORBELLO;Sindaco
GRANA;MORBELLO;Assessore
PAROLISI;MORBELLO;Assessore
PESTARINO;MORNESE;Sindaco
FORNASIERO;MORNESE;Vicesindaco
MAZZARELLO;MORNESE;Assessore
CAVELLI;MORSASCO;Sindaco
SCAZZOLA;MORSASCO;Vicesindaco
LAMPARELLI;MORSASCO;Assessore
BAROERO;MURISENGO;Sindaco
NAVAZZOTTI;MURISENGO;Vicesindaco
DELU';MURISENGO;Assessore
OLIVIERI;OCCIMIANO;Sindaco
ACETO;OCCIMIANO;Vicesindaco
ACETO;OCCIMIANO;Assessore
OLIVERO;ODALENGO GRANDE;Sindaco
BIANCO;ODALENGO GRANDE;Vicesindaco
MAGNONE;ODALENGO GRANDE;Assessore
PANATERO;ODALENGO PICCOLO;Sindaco
BASSO;ODALENGO PICCOLO;Vicesindaco
ROSSI;ODALENGO PICCOLO;Assessore
GROSSI;OLIVOLA;Sindaco
CERESA;OLIVOLA;Assessore
GIANNITTI;OLIVOLA;Assessore
ROSSI;ORSARA BORMIDA;Sindaco
BOBBIO;ORSARA BORMIDA;Vicesindaco
AUTOMOBILE;ORSARA BORMIDA;Assessore
PASCIUTA;OTTIGLIO;Sindaco
VERGNASCO;OTTIGLIO;Vicesindaco
CABIALE;OTTIGLIO;Assessore
LANTERO;OVADA;Sindaco
CANEVA;OVADA;Vicesindaco
CAPELLO;OVADA;Assessore
DIPALMA;OVADA;Assessore
PARETO;OVADA;Assessore
ARMANO;OVIGLIO;Sindaco
PUGLIESE;OVIGLIO;Assessore
VECCHIO;OVIGLIO;Assessore
FABBRI;OZZANO MONFERRATO;Sindaco
COLOMBANO;OZZANO MONFERRATO;Assessore
SCAGLIONE;OZZANO MONFERRATO;Assessore
GUALCO;PADERNA;Sindaco
AMATO;PADERNA;Assessore
SIMONELLI;PADERNA;Assessore
BORREANI;PARETO;Sindaco
DORATO;PARETO;Vicesindaco
VEZZOSO;PARETO;Assessore
RUZZA;PARODI LIGURE;Sindaco
MERLO;PARODI LIGURE;Assessore
REPETTO;PARODI LIGURE;Assessore
SUBBRERO;PASTURANA;Sindaco
RAGGIO;PASTURANA;Vicesindaco
POMERO;PASTURANA;Assessore
BORTOLONI;PECETTO DI VALENZA;Sindaco
FORSINETTI;PECETTO DI VALENZA;Vicesindaco
AIACHINO;PIETRA MARAZZI;Sindaco
FIENO;PIETRA MARAZZI;Vicesindaco
CANTELLO;PIETRA MARAZZI;Assessore
CAPRA;POMARO MONFERRATO;Sindaco
BALDI;POMARO MONFERRATO;Assessore
SALTARELLI;POMARO MONFERRATO;Assessore
D'AMICO;PONTECURONE;Sindaco
MONTINI;PONTECURONE;Vicesindaco
ANSALONE;PONTECURONE;Assessore
MOGNI;PONTECURONE;Assessore
RICOTTI;PONTECURONE;Assessore
BERRA;PONTESTURA;Sindaco
COPPO;PONTESTURA;Assessore
ROSSI;PONTESTURA;Assessore
POGGIO;PONTI;Sindaco
ADORNO;PONTI;Assessore
SATRAGNO;PONTI;Assessore
LAVAGNO;PONZANO MONFERRATO;Sindaco
GADDO;PONZANO MONFERRATO;Vicesindaco
PENAZZI;PONZANO MONFERRATO;Assessore
IVALDI;PONZONE;Sindaco
ASSANDRI;PONZONE;Assessore
RICCI;PONZONE;Assessore
DRAGHI;POZZOL GROPPO;Sindaco
BARBIERI;POZZOL GROPPO;Assessore
FRANCHINI;POZZOL GROPPO;Assessore
MILOSCIO;POZZOLO FORMIGARO;Sindaco
PAPPADA';POZZOLO FORMIGARO;Vicesindaco
CARAMAGNA;POZZOLO FORMIGARO;Assessore
FERRANDO;POZZOLO FORMIGARO;Assessore
MAGGIO;POZZOLO FORMIGARO;Assessore
PASTORINO;PRASCO;Sindaco
REPETTO;PRASCO;Vicesindaco
SIRI;PRASCO;Assessore
PASTORINO;PREDOSA;Sindaco
DURAT;PREDOSA;Assessore
REPETTO;PREDOSA;Assessore
PORZIO;QUARGNENTO;Sindaco
PAVIA;QUARGNENTO;Vicesindaco
BENZI;QUARGNENTO;Assessore
VENEZIA;QUATTORDIO;Sindaco
BIGLIANI;QUATTORDIO;Assessore
VENEZIA;QUATTORDIO;Assessore
BRUNA;RICALDONE;Sindaco
BOTTO;RICALDONE;Vicesindaco
PASTORINO;RICALDONE;Assessore
PRONZATO;RIVALTA BORMIDA;Sindaco
CACCIA;RIVALTA BORMIDA;Assessore
CURELLI;RIVALTA BORMIDA;Assessore
TINELLO;RIVARONE;Sindaco
TINELLO;ROCCAFORTE LIGURE;Sindaco
TORRE;ROCCAFORTE LIGURE;Vicesindaco
INGLESE;ROCCAFORTE LIGURE;Assessore
CACCIOLA;ROCCA GRIMALDA;Sindaco
FERRARA;ROCCA GRIMALDA;Vicesindaco
MOCCAGATTA;ROCCA GRIMALDA;Assessore
COGO;ROCCHETTA LIGURE;Sindaco
FIORI;ROCCHETTA LIGURE;Assessore
PONTE;ROCCHETTA LIGURE;Assessore
CHIESA;ROSIGNANO MONFERRATO;Sindaco
GAVIATI;ROSIGNANO MONFERRATO;Assessore
RE;ROSIGNANO MONFERRATO;Assessore
MELOTTI;SALA MONFERRATO;Sindaco
SALETTA;SALA MONFERRATO;Vicesindaco
ARZANI;SALE;Sindaco
BALDANZA;SALE;Assessore
CANOBBIO;SALE;Assessore
CORTESE;SALE;Assessore
RIVABELLA;SALE;Assessore
FERRARI;SAN CRISTOFORO;Sindaco
BRENGI;SAN CRISTOFORO;Assessore
GHIO;SAN CRISTOFORO;Assessore
DALLERA;SAN GIORGIO MONFERRATO;Sindaco
LAVAGNO;SAN GIORGIO MONFERRATO;Vicesindaco
ESCHER;SAN GIORGIO MONFERRATO;Assessore
TAGLIABUE;SAN SALVATORE MONFERRATO;Sindaco
BECCARIA;SAN SALVATORE MONFERRATO;Vicesindaco
TEMPORIN;SAN SALVATORE MONFERRATO;Assessore
CAPRILE;SAN SEBASTIANO CURONE;Sindaco
DAVICO;SAN SEBASTIANO CURONE;Assessore
LEDDI;SAN SEBASTIANO CURONE;Assessore
CAMATTI;SANT'AGATA FOSSILI;Sindaco
ANGORI;SANT'AGATA FOSSILI;Assessore
LECCESE;SANT'AGATA FOSSILI;Assessore
GALARDINI;SARDIGLIANO;Sindaco
GATTI;SARDIGLIANO;Vicesindaco
CADIROLA;SARDIGLIANO;Assessore
MOGNI;SAREZZANO;Sindaco
CAMPORA;SAREZZANO;Vicesindaco
GAGLIARDI;SAREZZANO;Assessore
BERTO;SERRALUNGA DI CREA;Sindaco
TROVATO;SERRALUNGA DI CREA;Vicesindaco
AMAROTTO;SERRALUNGA DI CREA;Assessore
BIAGIONI;SERRAVALLE SCRIVIA;Sindaco
ZERBO;SERRAVALLE SCRIVIA;Vicesindaco
COLLINI;SERRAVALLE SCRIVIA;Assessore
MASSONE;SERRAVALLE SCRIVIA;Assessore
SCIUTO;SERRAVALLE SCRIVIA;Assessore
DANIELE;SEZZADIO;Sindaco
TRIGGIANI;SEZZADIO;Vicesindaco
BOCCHIO;SEZZADIO;Assessore
COCO;SILVANO D'ORBA;Sindaco
LEVA;SILVANO D'ORBA;Assessore
OTTRIA;SILVANO D'ORBA;Assessore
ERCOLE;SOLERO;Sindaco
TONIATO;SOLERO;Vicesindaco
CERRUTI;SOLERO;Assessore
DEANDREA;SOLONGHELLO;Sindaco
AURITANO;SOLONGHELLO;Vicesindaco
ZAVATTARO;SOLONGHELLO;Assessore
VISCONTI;SPIGNO MONFERRATO;Sindaco
SERVENTI;SPIGNO MONFERRATO;Vicesindaco
PIOVANO;SPIGNO MONFERRATO;Assessore
ARTANA;SPINETO SCRIVIA;Sindaco
CANEGALLO;SPINETO SCRIVIA;Vicesindaco
PICCININI;SPINETO SCRIVIA;Assessore
BAGNASCO;STAZZANO;Sindaco
CASONATO;STAZZANO;Vicesindaco
RODRIGO;STAZZANO;Assessore
MONTI;STREVI;Sindaco
LUPO;STREVI;Assessore
PEDEMONTE;STREVI;Assessore
MARENCO;TAGLIOLO MONFERRATO;Sindaco
ROBBIANO;TAGLIOLO MONFERRATO;Vicesindaco
LIPARTITI;TAGLIOLO MONFERRATO;Assessore
CASTELLANO;TASSAROLO;Sindaco
PERNUMIAN;TASSAROLO;Vicesindaco
GEMME;TASSAROLO;Assessore
MUSSO;TERRUGGIA;Sindaco
GATTI;TERRUGGIA;Vicesindaco
CORINO;TERRUGGIA;Assessore
SOLFERINI;TERZO;Sindaco
BORGATTA;TERZO;Assessore
CALABRESE;TICINETO;Sindaco
BROVEGLIO;TICINETO;Vicesindaco
TORRE;TICINETO;Assessore
CHIODI;TORTONA;Sindaco
MORREALE;TORTONA;Vicesindaco
ACERBI;TORTONA;Assessore
BONETTI;TORTONA;Assessore
DAMIANI;TORTONA;Assessore
GALVANI;TORTONA;Assessore
DEGIOVANNI;TREVILLE;Sindaco
COPPO;TREVILLE;Vicesindaco
MONTEMERLO;TREVILLE;Assessore
COMASCHI;TRISOBBIO;Sindaco
LUSARDI;TRISOBBIO;Vicesindaco
AROSIO;TRISOBBIO;Assessore
ODDONE;VALENZA;Sindaco
ROSSI;VALENZA;Vicesindaco
BOVIO;VALMACCA;Sindaco
BERTONE;VALMACCA;Vicesindaco
BROVEGLIO;VALMACCA;Assessore
CORONA;VIGNALE MONFERRATO;Sindaco
CORONA;VIGNALE MONFERRATO;Vicesindaco
ACCORNERO;VIGNALE MONFERRATO;Assessore
TETI;VIGNOLE BORBERA;Sindaco
FOTIA;VIGNOLE BORBERA;Vicesindaco
PONTA;VIGNOLE BORBERA;Assessore
CHIESA;VIGUZZOLO;Sindaco
BINI;VIGUZZOLO;Assessore
BUTTERI;VIGUZZOLO;Assessore
DEMATTI;VIGUZZOLO;Assessore
TRANQUILLI;VIGUZZOLO;Assessore
FERRO;VILLADEATI;Sindaco
SORISIO;VILLADEATI;Vicesindaco
CARNI;VILLADEATI;Assessore
PERSI;VILLALVERNIA;Sindaco
RITONDALE;VILLALVERNIA;Vicesindaco
BIGIORNO;VILLALVERNIA;Assessore
MONCHIETTO;VILLAMIROGLIO;Sindaco
GENNARO;VILLAMIROGLIO;Vicesindaco
GIOLITO;VILLAMIROGLIO;Assessore
BREMIDE;VILLANOVA MONFERRATO;Sindaco
PAVESE;VILLAROMAGNANO;Sindaco
BORASI;VILLAROMAGNANO;Vicesindaco
BORASI;VILLAROMAGNANO;Assessore
DELORENZI;VISONE;Sindaco
GILARDO;VISONE;Vicesindaco
BRUGNONE;VISONE;Assessore
GIARDINI;VOLPEDO;Sindaco
LUGANO;VOLPEDO;Vicesindaco
VERNA;VOLPEDO;Assessore
BRIVIO;VOLPEGLINO;Sindaco
FRANZA;VOLPEGLINO;Vicesindaco
BONADEO;VOLPEGLINO;Assessore
BENASSO;VOLTAGGIO;Sindaco
BISIO;VOLTAGGIO;Vicesindaco
CAVO;VOLTAGGIO;Assessore
BIGLIA;AGLIANO TERME;Sindaco
FACCIO;AGLIANO TERME;Vicesindaco
BOLOGNA;AGLIANO TERME;Assessore
CIVARDI;ANTIGNANO;Sindaco
BORGOGNO;ANTIGNANO;Assessore
LOVISOLO;ANTIGNANO;Assessore
MARCHESE;ARAMENGO;Sindaco
FASOGLIO;ARAMENGO;Assessore
MASSAGLIA;ARAMENGO;Assessore
RASERO;ASTI;Sindaco
MORRA;ASTI;Vicesindaco
AMASIO;ASTI;Assessore
BOCCIA;ASTI;Assessore
BOLOGNA;ASTI;Assessore
BOVINO;ASTI;Assessore
CANDELARESI;ASTI;Assessore
GIACOMINI;ASTI;Assessore
ORIGLIA;ASTI;Assessore
ZOLLO;ASTI;Assessore
CARRETTO;AZZANO D'ASTI;Sindaco
FERRON;AZZANO D'ASTI;Assessore
VIARENGO;AZZANO D'ASTI;Assessore
FORNO;BALDICHIERI D'ASTI;Sindaco
BORGNINO;BALDICHIERI D'ASTI;Assessore
SARLO;BALDICHIERI D'ASTI;Assessore
VERCELLI;BELVEGLIO;Sindaco
MASUELLO;BELVEGLIO;Assessore
TROISI;BELVEGLIO;Assessore
LUPO;BERZANO DI SAN PIETRO;Sindaco
AGAGLIATE;BERZANO DI SAN PIETRO;Vicesindaco
FALLETTO;BERZANO DI SAN PIETRO;Assessore
BO;BRUNO;Sindaco
